interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
73832|118|59|2|31|Chat|1
74378|1466|63|3|23|Chat|1
50822|929|61|5|40|Chat|4
86027|1576|11|1|10|Call|4
28238|173|71|5|25|Chat|1
68353|378|42|4|42|Email|2
96613|1551|72|3|18|Call|2
86323|475|88|5|10|Call|2
63955|1218|91|3|8|In-Person|3
73422|105|58|4|45|In-Person|3
10225|1345|79|4|47|Chat|4
55787|1420|13|4|26|Call|1
83939|82|89|3|25|Chat|3
95800|780|80|2|29|In-Person|2
7763|392|4|1|17|Call|5
37109|1504|53|4|4|Chat|5
95248|1131|92|2|12|In-Person|4
57082|373|55|5|19|Email|2
71405|1811|90|1|2|Email|3
78471|323|8|4|17|Chat|2
75902|1771|4|2|46|Email|1
57938|1003|55|5|31|Email|1
17562|1645|93|3|25|Call|2
32531|1572|84|5|19|Email|1
99477|797|42|3|37|In-Person|4
80742|999|7|2|7|In-Person|1
73383|1747|56|2|25|Chat|2
57446|51|72|3|12|Email|1
1668|929|18|3|35|Call|4
90994|1151|89|5|36|In-Person|5
1607|923|64|4|39|Call|5
67240|1502|43|2|3|In-Person|4
48157|1728|74|2|41|Call|2
45606|1157|33|3|17|Email|4
30273|1683|49|5|49|Call|2
85730|914|53|1|7|In-Person|1
81870|214|41|2|13|Chat|4
20944|1084|41|5|19|In-Person|2
49560|688|79|1|35|Call|2
41568|1521|66|2|36|Chat|4
71129|46|3|3|42|Chat|3
76974|872|9|2|9|Chat|3
74578|1632|29|4|1|In-Person|4
16657|466|100|2|5|Call|3
36187|1050|83|2|3|Chat|1
80337|170|5|3|40|Chat|2
89072|1640|4|4|21|Email|5
26066|1021|26|5|20|Email|1
2795|276|66|2|35|Email|1
67317|295|80|5|6|Email|1
78466|96|63|4|2|Chat|5
1589|1107|27|2|49|Email|2
8918|1308|33|2|2|In-Person|5
61740|1152|78|4|41|Chat|3
17980|241|25|4|32|Call|4
16316|1407|1|3|36|Chat|4
96299|716|37|4|37|Call|4
62522|875|37|4|19|Email|4
75387|631|43|5|37|Call|1
63416|1333|62|5|49|Email|3
18907|938|88|2|19|Email|3
73983|200|94|4|44|In-Person|4
28262|394|94|2|3|Call|3
65674|1722|70|5|37|Call|4
47434|1059|96|2|3|In-Person|1
99231|161|13|5|28|Chat|3
36478|1164|3|3|35|Call|1
61910|1146|23|1|45|Call|3
93115|1160|93|4|43|Chat|1
95133|236|81|4|33|Call|1
69920|286|6|1|21|In-Person|4
15806|1171|67|5|30|Chat|3
8901|1190|82|3|13|Email|5
47134|1731|63|2|32|In-Person|3
63178|475|37|2|2|Call|5
86953|260|70|1|30|In-Person|1
56024|1576|90|3|23|In-Person|3
67763|426|75|1|25|Call|3
31057|1776|2|3|12|Chat|4
14268|1686|77|3|4|Email|1
80198|1284|55|2|24|In-Person|1
89005|906|21|4|28|Call|2
51416|318|3|2|3|Chat|4
23063|1018|82|3|6|In-Person|3
50547|1384|38|2|41|Call|4
77000|998|52|2|4|Chat|3
87459|1353|70|5|1|Call|3
82434|673|43|3|23|Chat|2
22502|65|7|5|27|Call|4
47240|419|37|2|18|Call|4
33307|1490|6|2|41|Chat|5
74427|51|17|2|40|In-Person|4
51096|1598|20|1|41|In-Person|4
49312|1519|89|1|50|Email|4
64975|665|20|2|20|In-Person|3
60234|125|6|4|44|Email|2
91037|251|81|3|3|Chat|1
41919|1|36|5|26|Call|5
20691|1652|32|4|39|Chat|5
16483|1582|77|5|29|Chat|5
99129|1422|9|1|46|In-Person|3
76845|740|19|4|32|Call|3
32247|1009|86|5|27|Email|2
51656|1269|44|5|37|In-Person|5
37444|426|100|1|30|Email|5
94521|728|54|2|5|In-Person|4
92128|327|44|1|15|Call|4
57856|1789|77|4|39|In-Person|3
36866|1356|27|4|29|Chat|5
84440|57|41|4|42|Email|5
5576|21|39|3|1|Call|5
76086|147|51|3|47|Email|5
60461|769|72|3|21|Chat|2
77543|633|55|4|5|Email|2
77628|1356|16|2|13|Chat|4
13854|466|10|1|14|Call|1
25711|1696|93|1|10|Call|1
10309|316|69|3|27|In-Person|4
96817|790|38|3|11|Chat|1
69327|1129|38|2|25|Chat|1
15585|1487|8|4|47|Chat|5
52690|1009|24|1|2|Email|5
27033|1053|98|4|45|Email|4
59815|1623|7|1|48|Call|4
50209|1233|61|3|36|Call|3
53172|1202|26|1|18|Call|4
44787|474|53|3|32|Chat|3
27727|1527|6|1|31|Call|3
30966|1823|87|2|37|Call|1
45646|909|74|2|41|In-Person|3
1766|533|59|1|3|Call|2
54348|286|60|3|28|Email|3
3995|664|67|4|3|Chat|5
36556|1234|10|4|28|In-Person|2
69154|1043|11|5|45|Email|3
46733|414|51|3|7|Call|4
96611|1364|94|1|29|Call|4
65649|504|40|2|7|Email|1
39590|1705|58|3|17|Chat|1
2317|95|82|5|41|Call|5
54911|1724|20|1|7|Chat|1
76861|1086|14|2|11|In-Person|4
69292|468|81|2|4|Chat|2
54826|1489|76|3|12|Call|1
19236|867|14|2|38|Call|4
61174|1235|79|5|33|Email|1
73024|925|77|5|43|In-Person|1
99078|1178|60|1|24|Chat|2
65133|906|44|3|20|Email|1
95600|810|93|4|44|Email|1
43483|1255|77|3|28|Chat|2
28147|1619|45|1|6|Call|1
4897|856|68|3|25|Call|1
82354|777|49|4|33|In-Person|2
90513|1597|100|1|38|Email|3
15348|1616|12|1|37|Chat|1
23812|1069|88|3|48|Call|2
18451|1634|67|1|18|Call|2
25435|436|49|1|7|Email|1
76236|273|43|4|12|Chat|1
71800|1170|80|1|18|Email|5
15005|96|18|4|8|Email|3
98470|760|70|3|43|Email|1
7529|445|28|1|35|In-Person|4
93935|946|75|3|2|Email|1
98313|438|75|1|39|Email|2
27693|445|100|5|28|Email|4
52219|1328|36|3|26|Call|1
70250|1694|79|4|25|Call|1
18292|24|67|5|7|Email|4
23904|613|9|3|21|Call|2
44833|606|31|2|38|Email|2
27946|399|36|1|29|Chat|1
10197|1572|82|4|36|Call|2
79482|1608|34|4|5|Chat|4
88062|498|67|1|8|Email|4
34675|633|46|3|18|In-Person|4
62234|197|26|2|33|Chat|5
67862|1678|47|1|20|Call|3
31419|980|54|3|37|Chat|2
13507|968|79|4|3|Email|5
44049|39|90|5|12|Call|4
12519|1793|12|2|32|Chat|5
32830|1272|5|5|48|Call|2
28115|574|92|1|38|In-Person|4
1076|748|30|3|49|Email|1
19540|27|54|4|28|Email|1
45310|1144|33|3|43|In-Person|1
61751|1754|8|2|30|Chat|2
94717|1348|83|3|3|In-Person|5
59183|1792|35|2|43|In-Person|4
60897|447|63|3|25|Chat|1
37818|920|2|3|11|In-Person|2
13668|1161|87|3|5|Chat|5
32892|1682|79|5|28|In-Person|1
44629|43|62|3|5|Email|4
26627|1688|76|3|41|In-Person|5
36909|37|48|3|31|Chat|4
44304|546|34|2|30|Email|5
64877|741|35|5|1|Email|2
41405|741|41|3|1|Email|5
24702|135|2|3|42|Chat|2
42273|442|87|1|41|Email|3
22456|386|75|1|13|Chat|2
38126|281|42|4|29|Email|2
90165|52|54|2|14|Chat|4
91131|297|6|3|39|Chat|4
34526|1657|28|4|42|Email|3
44243|587|55|2|8|Chat|3
15072|703|91|3|22|Chat|3
3346|1739|57|1|25|Chat|4
72889|13|44|5|26|Call|5
67513|1824|21|1|28|Call|5
63429|744|32|4|12|Chat|3
28585|207|71|1|12|Call|2
49853|134|6|2|16|Chat|3
27483|402|68|4|46|In-Person|5
33443|1367|92|1|11|In-Person|2
43622|1570|19|5|32|Email|3
67637|1247|17|1|29|Chat|4
94249|1656|23|1|15|Call|1
99598|1113|89|1|15|Call|2
16184|225|13|5|23|Chat|1
99976|1317|58|5|18|Call|1
48181|402|43|3|15|Email|5
28875|1301|20|4|46|Email|3
89646|254|96|3|38|Email|2
79866|792|80|5|48|Email|1
26476|195|99|4|13|In-Person|1
49233|1160|27|3|38|Chat|3
58186|1443|21|3|36|Email|2
45233|866|17|2|7|Chat|4
35933|1029|40|2|6|Chat|5
39096|908|83|3|23|In-Person|2
58541|1170|77|2|34|Chat|4
3250|1141|32|1|37|Email|2
31982|511|100|3|29|Chat|1
32702|1274|57|5|13|In-Person|1
92595|447|74|2|34|Call|4
82691|1215|62|5|34|Chat|5
48099|255|89|3|42|In-Person|5
89640|1588|94|5|8|In-Person|2
10379|256|64|1|34|Email|5
39176|1109|53|5|2|Email|4
22852|150|82|4|34|In-Person|3
63786|1220|18|5|33|Email|3
67917|1527|95|4|12|Call|1
24573|40|24|1|44|In-Person|1
14065|538|22|5|39|Email|3
74534|1405|93|1|32|Call|3
1567|1713|52|1|35|Chat|2
59535|1426|70|2|26|Email|3
55746|381|84|3|6|Call|1
79320|1511|40|3|16|Email|4
78529|432|93|3|37|Chat|4
370|23|53|4|13|Email|1
66614|237|93|1|46|Email|3
7346|620|74|2|47|Chat|3
58924|1186|85|1|47|Email|1
48423|1347|90|2|37|In-Person|4
4238|447|30|5|19|Chat|3
79923|135|82|2|16|Chat|2
32938|1420|44|1|37|Email|4
64166|1107|99|1|41|Email|4
43062|947|65|3|15|Email|1
81190|309|83|5|16|In-Person|3
1742|1080|24|2|39|Chat|2
66086|24|61|3|33|In-Person|4
8649|121|33|5|21|Email|2
59596|1652|48|3|35|Chat|2
72110|1336|56|4|24|Chat|3
83881|1594|52|4|9|Call|3
45560|254|16|1|14|In-Person|5
99349|1240|42|5|43|Chat|4
18261|1437|64|5|14|Call|4
54763|1223|61|4|39|Email|2
83429|1057|79|5|31|Chat|1
37111|114|56|3|3|Chat|5
63681|687|79|3|34|Email|4
62516|1175|80|2|27|Call|3
53195|1297|34|2|8|In-Person|1
28449|1278|90|2|34|In-Person|1
95342|771|38|2|31|Chat|1
22038|899|85|5|16|Call|1
1594|630|18|3|4|Chat|5
83087|1303|84|4|41|In-Person|3
15085|1446|41|5|36|Call|5
83889|1812|80|5|12|Chat|5
98622|1135|73|5|28|In-Person|4
21905|1808|16|5|29|Chat|2
53313|290|4|5|24|Email|3
14998|597|23|1|9|Call|2
42891|1498|19|3|46|Chat|4
31185|447|35|5|49|Call|3
94562|1023|48|1|2|In-Person|1
84903|1751|90|4|46|Call|3
16516|592|25|1|12|Call|3
47873|658|2|2|36|Chat|3
47095|18|40|1|2|Email|5
71717|1807|84|2|18|In-Person|1
60392|641|72|2|13|Email|2
15090|491|28|4|10|Email|2
22206|529|41|5|26|Call|1
34882|309|100|1|44|Email|5
49503|315|74|2|33|In-Person|3
85660|144|40|2|20|In-Person|2
17511|97|15|1|5|Call|2
21186|1669|74|4|15|Chat|5
3389|209|16|4|1|Chat|3
42754|668|85|5|9|Call|5
59593|1354|11|1|27|Chat|2
21990|1220|20|1|4|In-Person|5
44700|700|35|2|48|In-Person|4
33603|1627|8|4|39|Call|1
74649|908|84|4|34|In-Person|1
30072|685|44|4|29|Chat|4
15221|1080|14|3|43|Email|4
99221|916|35|5|48|Call|5
3069|1243|5|2|49|Email|1
29734|460|65|3|42|Chat|2
38673|643|87|4|41|In-Person|2
45554|974|28|5|25|In-Person|5
34130|715|18|4|42|Email|4
18245|1647|98|2|36|Chat|1
28986|952|3|5|44|Chat|3
45102|330|13|3|45|Email|2
25383|1356|4|1|16|In-Person|5
3837|1396|56|1|17|Email|2
41737|816|66|1|37|Email|5
17253|762|16|2|11|Chat|3
9198|124|17|2|25|Chat|3
39153|1309|27|3|9|Email|1
11574|823|1|1|37|Call|2
48329|267|61|2|23|Chat|4
91970|996|86|2|19|Call|5
72594|74|17|1|8|Chat|4
51308|1696|45|2|29|Email|4
49790|614|65|4|36|In-Person|5
20942|1069|47|4|32|Email|2
41262|885|48|3|30|Email|4
6330|1003|8|1|32|Email|2
43011|819|45|5|18|Email|4
66475|561|35|1|24|Chat|5
32121|1770|51|5|31|Chat|5
24544|224|20|2|39|Email|2
45076|1704|76|4|20|Chat|5
61541|1523|17|1|40|Email|5
56226|1613|12|5|49|In-Person|5
30389|1135|95|2|29|In-Person|2
37728|150|64|5|20|Email|2
70238|334|94|5|24|Chat|3
44085|499|95|1|9|Call|4
83238|294|17|1|30|Call|2
95602|560|81|5|32|In-Person|4
64658|1508|14|2|18|Email|3
52621|831|14|5|36|Email|4
64332|50|33|4|6|Email|5
63061|527|18|4|39|Call|3
49319|1691|77|5|5|In-Person|1
73751|201|82|5|11|Call|3
42565|875|60|4|34|Email|1
3658|1673|31|1|5|In-Person|3
10351|1052|93|4|50|In-Person|2
68630|752|8|4|33|Call|5
92094|1136|59|4|37|In-Person|1
68091|1632|31|5|40|Chat|2
80160|747|67|5|28|Email|4
65815|1241|96|1|39|Email|3
53155|1499|2|2|25|In-Person|3
79078|1270|36|2|34|Email|1
47404|194|84|3|38|In-Person|5
14502|446|62|1|43|In-Person|3
55409|1275|1|2|33|Email|3
64454|613|12|4|35|In-Person|3
48318|761|20|1|27|In-Person|1
93677|1030|26|5|7|Email|4
4757|1206|1|1|27|In-Person|3
62867|1409|98|1|37|In-Person|3
70577|1629|54|5|29|Call|1
34332|407|46|1|35|In-Person|5
78828|793|56|2|34|Call|2
43423|550|81|3|49|In-Person|5
80780|1348|72|2|20|Email|3
25919|23|50|3|41|Chat|2
20375|431|17|1|32|Call|4
11068|1406|4|5|13|Chat|2
52658|984|52|4|42|Email|1
2898|350|50|3|11|Email|5
12642|1590|45|2|37|In-Person|3
70755|1100|73|5|8|In-Person|3
58063|1546|62|1|43|Call|3
16887|989|62|4|36|In-Person|4
37073|1552|87|2|21|Call|4
36835|383|80|3|37|Call|1
46429|1305|49|4|43|In-Person|4
24533|1632|48|2|28|In-Person|2
35031|494|68|3|34|Call|5
76866|525|63|1|10|Chat|4
35696|580|37|4|46|Email|4
51287|587|1|2|29|Chat|3
36685|298|74|5|21|Chat|2
54583|635|89|5|50|Chat|1
52963|205|5|5|2|Email|5
93525|744|99|4|44|Email|2
26855|1272|56|2|39|Chat|5
54760|1104|85|2|2|Call|2
5731|1124|87|3|39|Chat|2
9726|1524|73|3|28|Call|3
51022|273|3|5|41|Call|3
70263|3|35|5|6|Email|4
24092|1759|37|1|32|Call|4
77087|1582|37|4|42|Email|5
64526|811|45|5|45|Call|2
42033|249|2|2|29|Call|1
44945|1408|54|1|49|In-Person|2
50601|1429|16|1|42|Email|1
86458|199|12|2|22|Email|1
70464|498|23|4|24|Chat|5
65370|367|28|1|21|In-Person|1
61546|172|97|3|50|In-Person|3
23894|1147|71|1|29|Email|5
50135|1755|16|1|38|In-Person|4
82648|794|2|3|22|Email|3
48154|1789|58|4|7|Chat|2
11517|1635|88|4|35|In-Person|1
32508|978|78|1|35|Chat|3
51924|1022|83|3|17|Chat|5
85591|1493|38|3|9|Chat|1
2151|590|30|5|47|In-Person|1
47426|588|11|1|1|Email|5
32630|1826|72|4|32|Call|5
8092|1237|79|1|12|Email|2
41440|1596|19|5|38|Chat|2
25886|1318|29|4|4|Call|5
32276|34|16|1|35|Email|3
6014|685|70|4|47|Email|1
41133|1394|84|2|10|In-Person|1
40257|517|10|2|5|Email|1
31949|615|7|3|30|Email|3
74167|1294|3|5|30|Email|5
31103|939|67|4|14|In-Person|3
63045|1656|70|5|38|In-Person|2
99443|967|39|4|45|In-Person|2
91767|1710|26|1|36|In-Person|3
10947|1185|10|5|50|Chat|2
58592|313|14|1|46|In-Person|5
77275|888|90|1|29|Call|5
41995|517|46|2|42|Chat|1
11946|350|72|5|15|In-Person|5
77341|853|84|5|17|Chat|5
33663|643|68|5|7|Email|3
71340|1232|90|5|12|Email|1
72120|440|88|3|36|Chat|4
36281|491|70|3|7|Chat|3
24028|794|18|2|36|Call|1
65918|666|20|2|18|Chat|2
14742|320|5|2|6|In-Person|1
22988|738|64|4|43|Call|5
32080|1234|89|1|14|In-Person|5
87988|648|65|1|40|In-Person|4
6646|1431|80|2|2|Email|4
66799|1265|37|3|27|Chat|2
3396|1242|45|3|31|Email|1
8076|58|73|1|27|Email|5
18023|630|26|1|7|Chat|2
29908|1061|80|2|3|Email|2
58330|588|33|5|33|Email|3
82985|1416|28|1|22|In-Person|3
50873|241|41|3|8|In-Person|4
33408|69|60|1|6|Call|3
26626|1670|47|4|13|In-Person|2
87593|832|75|3|4|Email|1
7936|1459|21|5|47|In-Person|2
47260|292|91|4|3|In-Person|3
77057|481|12|1|16|Email|4
81980|927|6|1|27|In-Person|1
37620|841|76|4|21|In-Person|2
61605|1160|18|2|37|Email|3
19649|138|60|3|47|Call|5
99826|1307|41|1|29|Email|2
91152|1308|59|4|27|Email|5
48411|688|32|1|46|Chat|2
36690|338|1|4|28|Call|5
10076|986|47|5|7|Chat|5
56167|1433|50|1|16|Email|5
42957|1348|77|1|19|Call|2
39436|683|93|4|33|Chat|2
66001|1102|25|2|16|In-Person|5
58866|1224|66|3|19|Email|4
41588|924|22|2|17|Email|3
47723|505|20|5|27|In-Person|4
50413|306|90|3|26|Email|3
97920|1435|64|5|23|Chat|5
83425|657|97|1|1|In-Person|3
7515|1689|13|3|37|Email|2
70993|809|70|1|2|Call|2
14293|1019|52|2|32|In-Person|4
82578|82|79|3|48|Chat|3
54171|1270|60|5|21|Email|5
32003|74|17|2|21|Email|2
93684|1220|33|5|9|Chat|1
12346|1724|40|3|34|Chat|1
10045|1521|79|5|48|Call|1
74118|1449|64|1|29|Email|1
92384|135|87|2|42|Call|5
636|1127|7|1|22|In-Person|4
13774|937|18|2|19|Call|2
68234|878|60|4|19|Chat|4
25712|818|56|3|44|Call|1
64493|1738|37|4|35|Chat|4
61117|863|51|4|3|Chat|1
80841|1247|4|2|29|In-Person|1
43928|859|3|2|14|Email|5
46298|1665|92|3|48|Call|1
89781|979|76|4|4|Call|2
65937|1054|38|1|25|In-Person|5
65730|605|36|2|17|Chat|3
53984|206|89|3|2|Chat|3
75104|1233|95|2|35|Chat|3
99899|900|11|3|11|Chat|4
12134|1566|1|3|43|Chat|4
59606|1318|76|1|27|In-Person|3
32275|537|69|5|29|Chat|5
12088|1043|21|3|15|In-Person|2
79589|74|81|4|23|In-Person|1
24654|1207|69|4|13|Call|5
32520|619|28|2|22|In-Person|5
84301|503|14|5|32|Call|1
61734|1165|20|4|25|Call|5
82389|974|36|2|8|Call|4
51423|1009|11|4|43|Call|5
57466|1555|29|3|4|Chat|4
75863|517|94|1|24|Email|3
39507|514|92|2|9|Email|4
61465|1604|73|5|36|In-Person|5
8253|184|42|1|24|Chat|4
84495|63|98|5|2|Chat|5
78132|1256|48|3|12|In-Person|4
1726|300|96|1|48|In-Person|5
21290|1097|2|4|19|Chat|1
49250|431|57|4|34|Email|3
61141|140|9|4|46|In-Person|4
39942|1822|56|5|30|Email|5
14604|1455|31|2|39|Email|4
83896|741|38|3|13|Email|1
25948|179|50|5|41|Chat|2
81377|1397|65|3|15|Call|1
41106|1351|23|2|49|Call|1
25675|1703|40|3|47|Chat|3
63668|733|88|2|15|Chat|4
75265|1561|58|4|5|In-Person|2
33954|372|76|5|5|Chat|5
24775|663|75|4|27|In-Person|5
17395|892|64|4|23|Chat|3
26746|1656|42|4|12|Chat|3
15034|1136|44|5|7|Call|5
54783|1216|46|1|9|Email|2
16937|704|73|5|7|Call|2
85263|589|25|5|50|Chat|2
92607|461|36|5|42|Call|5
82642|472|62|5|38|In-Person|2
9660|1580|93|3|49|In-Person|1
18239|1238|83|2|49|Call|5
53336|718|21|4|30|Email|1
2356|1204|85|4|22|Call|2
12389|1531|79|4|29|Email|1
6759|838|32|2|46|In-Person|5
51473|1193|26|1|37|Call|3
91611|465|15|1|24|Call|2
5155|536|87|1|44|Call|2
63881|491|49|5|4|In-Person|2
31638|764|41|1|26|Email|5
30515|444|47|2|40|In-Person|5
2636|1235|58|4|4|Email|1
55263|261|27|4|45|In-Person|2
86764|1143|32|3|31|In-Person|5
87650|1607|67|3|29|Email|2
7071|1000|28|3|30|Chat|1
99639|630|71|2|33|Chat|2
90545|718|52|4|23|Chat|1
60857|1625|95|5|47|In-Person|5
20068|734|67|3|29|Call|4
94690|1047|75|1|30|Email|2
15260|615|23|3|42|In-Person|2
6829|23|26|1|7|Chat|3
35853|742|11|2|20|In-Person|5
22090|536|62|3|46|Chat|4
95522|1403|92|5|34|In-Person|4
45384|1498|49|1|21|Chat|3
89274|1758|67|4|11|Email|4
29305|941|76|1|8|Chat|5
59352|1072|48|2|22|Call|2
7803|1509|83|2|34|Call|4
60777|1713|17|4|49|Email|3
5205|777|72|4|2|Call|1
58969|294|29|5|38|Call|4
7304|1498|80|1|2|Chat|2
82259|1003|59|4|10|Chat|5
95486|1254|43|4|37|Chat|5
91562|983|13|5|7|Call|5
78242|1155|25|3|23|Call|1
44280|483|24|3|14|In-Person|2
64801|1088|14|5|48|Chat|4
53694|1599|31|4|6|Email|4
16796|907|81|4|9|Email|1
58424|334|96|2|45|Call|1
69205|559|2|2|1|In-Person|3
77723|1786|58|4|38|Email|3
31311|1110|38|2|44|Chat|5
14725|309|95|3|46|Call|4
42386|1812|84|1|41|In-Person|4
33055|1285|71|1|42|In-Person|4
83466|1796|36|5|5|Email|1
85226|563|24|4|22|Chat|1
88183|228|73|3|45|In-Person|2
49631|414|55|2|47|Call|2
54528|1056|73|5|27|Call|2
78724|556|29|5|46|Chat|3
85254|1744|69|3|46|Email|5
95384|689|36|1|26|In-Person|5
73071|1222|36|4|35|Email|4
12730|1353|14|2|27|In-Person|3
83278|1585|13|5|26|Call|4
83716|604|38|4|4|Email|5
82205|884|14|4|5|In-Person|5
83960|996|79|3|23|Email|3
45980|1397|55|4|17|Email|3
57000|493|88|4|13|In-Person|1
18859|1363|63|1|3|In-Person|2
975|868|52|1|18|Email|5
58007|236|45|1|25|Chat|1
82821|1013|48|1|44|Chat|5
92199|709|92|2|48|Chat|2
60637|506|30|5|30|In-Person|2
66985|1656|93|1|47|Chat|4
60053|1233|69|5|48|In-Person|3
60270|541|1|5|9|Chat|5
95747|919|30|2|27|In-Person|2
60181|305|88|3|28|Email|1
91670|1226|89|1|4|In-Person|4
13974|1299|27|1|11|Email|1
90186|1723|55|1|3|Chat|2
22659|975|49|3|42|Chat|3
56369|274|35|5|32|In-Person|5
46237|312|78|3|50|Call|3
8175|964|71|4|49|Email|3
53013|707|63|1|25|Email|1
35601|225|90|1|37|In-Person|5
12859|104|11|3|20|Chat|4
50532|153|85|2|25|Call|2
62277|922|37|3|14|In-Person|3
59421|1454|47|3|15|Call|3
60551|817|54|1|8|Email|3
30750|403|34|5|33|In-Person|3
96501|1226|47|2|14|In-Person|4
5404|1446|5|1|4|Chat|3
7955|1140|47|2|5|Email|4
23019|1335|98|2|24|Call|1
48278|334|54|5|20|Chat|1
887|1536|58|5|4|Call|1
78431|888|26|4|39|In-Person|3
26410|1116|16|3|44|Email|3
39287|1689|70|1|17|Call|3
72974|968|16|2|39|In-Person|3
61114|1299|12|4|39|Call|1
49042|1261|26|1|40|Chat|2
31105|1307|69|1|41|In-Person|4
85041|1182|10|5|21|Chat|3
46903|663|67|3|36|Chat|1
29738|169|64|2|6|In-Person|5
73394|42|100|2|26|In-Person|4
55121|315|12|4|13|Chat|5
76725|1559|84|4|50|Email|3
95261|682|72|3|12|Chat|1
49565|1301|69|3|11|Call|5
87249|333|59|3|17|Email|4
81206|584|12|5|27|In-Person|3
55435|472|6|3|2|In-Person|5
49935|351|37|2|4|Chat|2
56195|313|96|2|38|Call|5
99336|714|96|4|26|Email|5
29581|707|82|5|7|Email|2
63020|10|29|2|9|Email|3
97549|1080|72|5|32|Call|5
34744|1587|65|3|24|Email|3
5181|614|46|2|4|Call|3
79718|1613|2|4|28|Email|2
90596|359|78|4|40|Chat|2
39633|1191|3|3|32|Call|3
93384|285|39|3|46|In-Person|1
71070|646|74|3|42|Chat|5
43790|251|73|5|24|Chat|3
48535|1068|79|3|46|In-Person|5
73400|205|2|3|30|In-Person|2
60030|1201|24|4|9|Email|2
2941|392|87|4|29|In-Person|3
28899|1234|51|3|45|Email|1
44948|987|29|1|6|Call|4
13909|184|20|3|43|In-Person|2
50140|744|82|4|1|Chat|4
25700|711|80|2|34|In-Person|5
38579|1112|36|2|16|Chat|2
22060|1023|72|3|44|In-Person|5
13030|727|51|3|11|In-Person|1
15232|543|49|1|33|Chat|1
29562|1343|97|4|17|Call|4
17761|817|50|2|40|In-Person|4
1013|1596|4|4|49|Chat|4
4281|1194|68|3|21|Email|2
47598|1152|27|5|45|In-Person|2
36220|811|48|5|23|In-Person|1
74928|167|2|3|40|In-Person|4
63292|42|58|2|4|Chat|2
8350|1506|57|1|50|Email|3
15917|1166|69|5|22|Email|1
25141|609|41|3|27|Chat|2
32797|330|47|4|14|Email|2
62520|152|92|1|46|In-Person|5
89801|460|84|2|11|In-Person|1
25735|983|58|3|19|Call|2
22644|873|70|1|40|Chat|3
35502|1263|4|1|16|In-Person|4
74272|914|12|3|35|Email|5
79856|436|7|2|18|Chat|2
45278|664|25|4|8|Chat|4
19592|1521|68|2|48|Email|2
65236|951|74|1|19|In-Person|2
33393|1774|2|3|38|Email|2
12394|998|46|2|44|Email|4
83737|1796|84|1|27|Chat|4
70498|1600|97|2|28|Chat|1
