investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
66816|1393|5|41|42|1|411760.7|12498.09
75698|1281|5|69|7|2|254282.86|4888.91
75909|29|1|27|38|1|286475.93|13705.67
18933|1615|1|87|9|2|858408.92|1744.07
13599|481|3|61|8|1|10733.67|4239.06
36421|373|4|83|21|2|448975.76|10499.26
589|1210|2|86|31|3|745432.66|3271.55
62263|1759|3|1|34|2|467590.91|1841.16
72987|1545|3|91|10|2|415353.85|2867.92
90002|995|5|15|4|1|102895.69|5240.9
38667|1060|5|77|49|3|734013.53|-712.35
29124|1773|4|23|27|3|784485.82|10911.02
99096|715|5|9|42|3|422265.23|2815.82
5695|440|4|70|37|1|809363.52|9287.94
44359|1644|2|77|18|1|318345.63|1436.95
58590|1472|2|43|43|2|255689.65|-1278.7
79960|1737|1|33|9|3|406394.85|-748.81
58072|1087|3|95|22|2|920033.03|-235.78
23229|704|4|59|1|1|555484.63|-3662.64
43133|238|1|24|27|2|177430.88|6440.67
43348|1553|4|72|49|1|301096.95|11924.16
81000|921|2|68|18|1|708305.09|5544.67
61748|311|3|21|38|3|307228.78|14031.55
99047|929|1|19|5|3|434038.63|-3833.83
61441|1221|1|12|4|1|202805.22|11888.04
36263|404|1|11|31|2|759332.44|6786.18
73473|1332|4|8|23|3|846942.78|12607.1
65348|565|5|65|11|3|675177.57|11310.38
7562|1367|3|17|45|2|365043.92|12033.78
9711|1646|2|96|27|1|42173.92|595.93
29641|1286|1|71|39|3|561304.86|-468.16
1009|95|2|20|16|2|95916.75|-1620.48
86185|1654|3|83|31|2|405004.79|1916.73
84950|906|3|8|42|2|541487.11|14374.83
35508|106|3|78|35|3|270302.68|10637.22
13934|1731|3|38|19|1|263333.2|1245.47
47568|1202|2|84|12|1|443592.47|1227.89
40637|552|1|9|42|2|402422.2|1714.43
25180|1074|3|31|19|3|999463.88|-2409.32
1105|1386|3|57|34|3|933170.81|-4737.98
25501|1709|2|84|16|3|341547.9|629.09
56506|100|1|12|1|1|893485.69|14676.39
48337|1661|1|13|9|3|361930.4|7621.48
15947|653|3|66|48|3|247272.41|1329.19
94299|472|2|81|29|3|334158.71|6381.1
71609|800|3|16|41|1|947389.83|4967.07
71436|1794|5|55|11|2|54814.88|7891.68
91981|1098|3|66|31|1|689224.59|13519.27
63868|1041|1|32|17|3|598897.69|-4969.46
82054|1346|5|78|44|2|857425.15|5694.7
32594|1098|5|52|27|2|925098.68|-1792.57
11094|1234|3|92|50|2|311213.14|10170.51
42536|1314|3|54|9|2|31486.34|-262.9
8163|1287|3|47|40|1|941455.96|5432.76
88020|327|2|26|37|2|316138.89|13543.8
89078|1045|3|23|16|1|335153.45|2227.94
53492|970|1|45|31|2|706500.66|-4178.2
90587|599|5|18|49|3|491955.59|12636.71
62036|808|5|59|34|2|230447.63|-474.29
33535|483|3|92|42|3|65694.76|3102.06
26457|1720|3|56|46|3|123710.11|5209.12
1029|1519|5|27|50|2|114337.85|-3010.86
98241|1706|5|14|46|1|426682.31|4168.97
71480|1258|2|66|24|2|913846.29|8315.55
39324|400|4|73|32|2|550510.67|-2663.77
80599|1204|4|70|9|3|257828.33|1297.24
97833|1789|5|4|26|2|349068.89|8140.17
3116|1396|1|89|14|3|651508.83|5387.97
97658|1581|2|46|24|3|564635.55|-3132.46
13747|1039|3|24|25|3|120808.08|2110.91
10095|457|3|29|6|3|910436.38|12839.23
73612|273|3|99|1|3|199103.33|2118.82
4184|463|2|59|10|1|949186.18|12471.64
59534|1309|5|28|1|3|665162.78|13876.48
65913|1556|2|75|39|1|202268.26|3744.92
59632|14|1|42|25|2|495812.31|13819.69
53070|1801|2|15|14|1|975739.37|11930.85
24237|1533|2|8|8|3|332425.58|6694.44
83789|360|2|36|22|1|789905.18|-1266.69
56282|396|2|33|16|2|261005.37|8632.02
35674|1225|1|7|26|3|821715.47|3788.06
77323|1806|4|82|15|2|66869.35|14668.57
71938|365|1|40|17|3|490810.5|14820.16
16017|1787|1|70|30|3|678421.04|9737.09
63741|793|4|100|29|3|520942.52|9626.01
67539|687|3|34|29|3|731456.51|2184.98
91828|1026|2|64|41|2|491447.73|-2784.93
62510|1052|4|37|35|2|22547.56|580.15
2872|1199|2|91|42|1|166226.0|1674.07
48967|959|1|98|14|1|525769.41|9303.83
60072|694|5|79|34|2|71311.8|9376.52
73177|594|1|66|21|3|93174.74|11144.95
53951|1229|1|11|45|1|335465.72|12718.94
57903|427|2|99|31|1|81915.85|14258.65
74103|1360|1|13|42|2|13640.58|913.48
59462|1268|1|17|50|1|153209.42|3595.83
87799|657|2|49|49|2|153162.58|856.11
73412|1715|1|15|29|3|174169.32|3892.7
16810|598|5|4|28|3|702640.8|5215.21
14934|614|2|48|30|2|255030.56|8919.52
99609|1381|5|25|20|2|504927.12|1397.99
65973|1012|4|6|18|2|476946.25|2329.0
15654|1557|4|2|43|1|921690.29|10755.75
54771|35|4|87|21|2|979321.07|1067.88
78722|1657|2|74|47|3|817259.48|13726.76
96659|965|4|71|19|3|924574.29|1010.21
74529|44|4|11|38|1|560218.09|66.89
56075|852|5|31|21|1|926644.58|1004.9
71002|320|4|2|16|3|150497.6|7037.67
71899|782|4|37|23|2|137328.18|-2934.33
81863|1398|1|2|40|2|612518.36|14569.6
69813|1401|1|90|38|2|494309.12|3569.07
99703|1678|5|31|20|2|741160.39|-4147.21
20510|463|3|66|24|2|239139.76|7097.38
84937|834|4|21|41|1|342280.62|5426.1
50622|155|1|68|40|2|820493.1|9136.17
59144|1007|2|88|28|1|324200.09|14584.19
66810|1480|5|63|25|1|961633.6|8948.58
54251|1692|1|88|6|2|888794.26|9575.88
55279|712|2|87|17|3|35944.4|-3609.04
99695|1421|4|93|50|3|28224.51|-62.96
86718|1074|1|47|47|2|25982.87|9666.75
3512|149|2|37|12|1|376939.11|12020.82
70174|72|5|20|25|1|159523.81|3735.52
31322|1301|4|4|39|1|44995.12|1906.2
30368|1053|5|21|42|2|631898.22|12452.02
22430|915|1|12|14|1|185532.22|-2796.76
23596|1306|1|39|7|2|499975.3|9034.98
72061|1171|2|13|46|1|494263.98|-2370.01
75997|58|4|96|13|3|15642.78|205.77
78686|1761|5|8|26|2|607698.79|5913.22
33383|1543|1|50|1|2|350263.14|6919.63
40061|1200|1|16|11|1|324779.27|-3472.45
82634|524|3|84|7|2|140080.55|-4170.48
42939|996|5|5|28|1|302777.32|-1794.28
9248|169|2|94|48|2|805580.77|11561.55
78683|807|3|27|48|1|445590.9|882.14
71488|773|4|36|49|3|993326.62|-1071.54
5199|1213|2|13|22|1|89816.92|-2233.19
51263|398|1|35|8|1|662462.55|9394.49
2078|683|4|73|37|2|693271.81|1292.0
30363|849|1|48|38|2|260794.25|8706.1
85945|581|4|34|7|3|188399.47|487.56
14309|1596|3|6|27|2|614753.56|5338.67
26068|1703|5|20|2|3|873043.58|10173.4
89283|1773|5|10|32|1|705317.38|5647.37
71514|461|4|7|24|2|822773.79|7882.86
43905|1542|1|26|45|3|736277.16|9895.9
75207|1711|3|91|41|3|857389.03|12137.76
9012|566|2|48|30|1|889371.99|-1272.75
36916|946|5|61|45|1|246632.84|6242.42
83718|119|4|49|45|1|115452.86|-1656.27
34349|514|2|39|36|1|186044.81|6041.71
79523|425|2|45|35|1|84568.47|9423.84
12474|457|2|2|35|2|761894.87|4332.08
48664|998|5|53|28|3|6890.98|11095.74
68611|597|4|63|37|3|466322.41|-396.85
91068|1455|3|40|24|2|203573.83|11294.39
69023|332|5|17|36|1|743728.75|-1413.72
60775|1386|1|45|5|3|360365.0|12309.42
83022|546|5|74|49|3|798783.9|-1367.73
43481|780|3|45|22|1|453306.61|-3580.89
95836|292|3|37|46|1|217961.05|1972.9
11773|727|2|65|33|3|910945.98|10762.82
37731|438|1|36|1|1|560197.94|-707.89
80712|475|3|93|46|3|977523.79|4534.16
24891|104|1|83|8|3|855653.12|5273.49
60021|1254|3|82|26|3|743385.55|8079.69
31416|788|2|38|47|3|25761.29|7566.47
17822|214|3|50|29|3|956795.24|421.29
98719|415|3|53|42|2|771800.1|9249.81
92577|468|5|5|31|1|646193.0|426.9
47195|804|3|45|4|2|589163.94|9986.43
56439|682|1|61|39|3|767839.97|-3419.41
67962|630|3|25|45|2|529307.95|10875.58
96018|1498|4|22|8|3|499573.03|5966.79
3074|59|3|13|10|1|708115.97|-2113.15
1224|1562|3|86|2|3|556464.52|11971.61
43487|1389|3|16|22|3|49936.85|13771.31
41220|977|3|57|14|2|746607.91|10956.39
81282|406|2|28|2|3|807176.81|10220.99
88948|1036|1|95|10|1|228371.03|4479.8
30618|1125|3|22|7|3|903086.13|123.43
49917|406|2|75|40|3|616968.65|10714.16
24391|1218|1|5|35|1|399782.49|-4417.48
90500|1436|1|42|35|3|603501.92|1207.44
64757|980|1|88|46|2|998811.45|9155.35
81386|1217|2|46|27|2|808241.49|8837.81
15550|426|5|79|42|3|870724.0|-34.41
70483|174|2|8|49|1|88926.51|8036.27
45209|774|2|70|47|1|732071.44|1221.06
6192|1681|2|25|30|3|720855.7|-2244.18
55048|362|5|82|21|1|652366.67|9508.22
90591|121|3|63|11|2|669325.21|27.51
67641|940|2|16|50|1|437825.64|6394.16
51626|863|3|25|38|1|113795.89|1826.98
7580|461|3|32|46|1|402525.33|9810.76
26890|140|3|18|48|1|945710.27|3564.92
81815|965|4|49|41|1|252139.97|7970.55
18643|258|3|39|18|3|384562.53|-4284.66
94710|335|2|15|46|3|335791.99|10054.97
15311|932|1|37|12|2|121190.55|-424.19
90789|371|4|24|32|3|900508.79|10406.74
28393|498|5|65|31|1|593131.99|8630.05
15862|811|3|56|41|1|739049.61|11552.43
5207|148|3|85|26|2|226077.94|7080.65
53352|79|3|94|13|3|221382.43|-4906.65
40524|321|4|77|46|2|876660.42|207.59
5739|1158|4|90|10|1|78116.32|3714.15
89431|681|5|100|39|2|31360.32|-3692.61
45996|1356|2|91|10|1|894769.79|5638.57
35480|486|2|75|13|1|623821.3|2636.59
84105|513|4|21|40|2|429285.66|13474.8
58933|860|4|60|49|2|991970.76|1027.68
6966|437|5|76|26|3|435711.47|7638.5
98366|536|2|63|45|1|518619.4|8711.71
29690|1099|4|17|27|3|243355.1|9879.81
65072|20|5|67|1|2|741121.07|3077.59
68481|1732|1|39|22|2|806402.64|4602.76
51677|457|4|32|46|1|415007.13|-3331.29
90706|772|5|16|3|3|595090.6|7875.41
914|360|5|80|12|1|907654.79|-4764.43
28892|985|5|16|11|2|616496.78|2646.24
40100|1817|3|16|28|3|778532.23|-638.62
37375|719|5|97|37|3|696508.17|9619.14
43547|273|3|76|44|1|654369.68|3753.73
27131|442|4|9|46|2|701154.48|13380.82
89073|1010|5|37|7|3|54535.2|2363.13
3254|202|3|54|17|3|569232.08|-833.44
50942|654|5|33|28|2|103789.48|-4646.45
48919|1727|2|53|18|1|272738.35|-4475.13
97700|1827|3|16|41|1|136925.08|13844.88
48551|837|3|52|45|3|497793.48|7389.61
80372|507|4|26|14|3|245287.53|3826.68
75398|846|4|42|29|3|716725.95|996.07
38091|1471|2|50|17|3|588446.75|3793.7
29875|196|3|41|12|3|408767.99|8951.13
31415|901|2|91|38|2|618589.24|13862.72
19367|502|3|38|7|2|918955.82|10828.47
8693|522|3|44|12|3|193294.73|4264.94
17664|1107|5|21|31|2|125370.27|6014.83
97330|1590|3|22|19|1|38470.21|5418.07
79009|1793|4|1|50|3|921478.15|13218.37
23703|1738|3|37|4|1|15869.72|-4801.86
2811|362|5|42|4|2|137506.65|-529.18
23016|1108|2|78|14|2|473032.41|11738.1
67182|863|5|6|29|3|144793.68|4295.61
35819|207|5|32|44|1|22219.11|-1891.02
38288|979|4|43|18|1|289129.25|6997.51
20416|250|2|64|22|3|141214.72|8158.65
48995|1017|4|57|42|1|560448.36|14999.52
65107|166|3|95|46|1|662124.56|6727.77
56783|347|1|3|13|3|899719.53|760.59
18535|1234|2|47|42|2|371626.59|3568.04
12428|830|2|45|38|1|183700.46|-821.96
44268|150|5|83|39|3|603184.61|8566.9
55983|1614|3|91|31|2|728658.2|10733.11
23168|127|4|71|38|3|191211.34|-4296.67
44031|1040|3|96|17|3|425857.52|8587.0
369|534|5|4|14|3|779125.0|3925.32
22946|1101|5|51|46|3|655661.94|11472.91
96580|205|4|68|38|2|615653.72|5821.94
1685|541|4|98|32|2|368085.48|11523.14
35210|485|1|47|2|2|247646.62|-704.24
13255|1752|4|77|24|3|115540.37|9966.87
60225|748|5|15|23|2|19935.55|14603.09
90674|552|2|59|50|3|818747.59|6860.12
9600|1343|1|15|7|1|838593.24|-3305.03
77197|752|2|45|12|2|801755.51|299.79
90478|74|3|81|39|2|75776.6|-2069.75
12876|463|1|25|4|2|524671.84|-1317.69
48240|113|5|22|26|1|570846.26|14450.75
41363|520|5|20|14|2|994436.85|-3879.39
30133|671|1|61|21|1|357530.33|13877.4
66229|440|4|83|13|1|677781.87|2253.19
48182|58|2|74|12|2|413037.95|4778.89
84874|1378|5|49|35|1|327145.68|11188.19
89293|964|4|25|46|3|384582.7|-2778.09
83385|9|3|65|21|3|756810.55|9460.04
52557|551|5|85|45|3|935392.77|14262.64
50158|716|1|67|24|3|668309.96|-2376.67
18150|1150|4|72|45|2|391943.01|-3426.79
95174|1352|4|60|33|3|746241.91|8459.93
88025|231|4|53|49|3|374448.05|8412.42
91596|1031|5|70|32|2|929593.12|-3462.64
79166|1016|1|6|44|1|909349.32|8205.67
93926|1044|1|20|26|3|915790.58|-3325.54
98164|1825|2|74|18|2|826349.63|2741.09
78326|936|5|7|10|3|575740.31|9151.77
73134|723|1|88|45|3|638673.23|2098.34
86605|1193|3|39|4|1|657675.84|5068.25
90300|604|4|78|25|2|49547.75|4173.88
2481|914|4|77|35|3|971015.91|-482.25
73348|386|5|47|12|2|344646.81|2240.82
69564|111|2|25|47|2|101999.62|5328.07
53875|195|1|68|34|3|779687.47|9057.85
68090|1082|1|72|12|2|570242.4|-2081.57
74001|2|3|92|38|3|302250.84|-338.5
87560|440|1|99|9|1|741926.17|12536.1
48594|1243|1|84|21|1|409573.64|651.72
51342|136|1|2|47|2|535837.24|4649.62
4837|806|3|51|1|2|216923.76|4182.1
38061|629|1|82|12|2|463457.19|9238.72
17805|240|3|31|46|2|453437.97|-4054.27
59494|1536|5|37|16|3|853931.32|-2381.48
25506|1817|1|31|23|1|287751.03|7651.8
7652|573|2|22|28|2|917561.78|8798.38
23954|1267|5|2|32|2|37170.29|14502.94
43314|110|1|96|29|3|109534.95|552.94
72841|1427|3|25|17|3|33439.07|6769.73
12711|59|5|23|48|3|48848.0|14940.84
75573|1302|2|59|33|2|558010.68|32.97
2181|1606|4|22|49|3|768355.73|7837.95
72271|123|4|49|20|2|899832.53|12944.56
57872|1275|4|99|47|1|2022.0|1740.23
87728|1495|5|54|47|1|651743.23|6229.48
5250|1659|1|26|48|3|59034.9|10628.92
22667|627|5|52|50|3|409425.2|7401.02
85246|590|5|63|47|2|80076.61|3964.69
10214|718|3|71|8|1|67692.11|3954.9
61764|619|4|42|26|1|674471.08|12275.4
95049|613|2|73|23|2|796531.84|-4366.18
55727|370|2|28|22|1|512986.33|11395.36
45247|1709|5|38|13|1|302178.84|-301.46
74598|1045|4|69|41|1|987231.49|13947.75
29764|525|3|26|11|2|788964.17|1876.71
51226|296|1|72|48|3|468113.47|623.57
92366|646|3|57|32|2|591523.57|8187.11
97044|517|2|55|37|2|126523.27|-279.92
13065|1241|1|73|12|2|5068.38|8585.16
22216|142|3|50|18|2|872582.32|14497.51
1163|771|1|2|20|1|380805.06|1877.78
9210|1459|5|80|34|3|62615.22|11297.02
21792|1458|3|21|24|3|303022.97|8436.75
46527|541|5|5|45|1|588683.56|3875.91
90785|318|4|48|15|1|186738.38|-244.87
78751|312|5|30|48|3|919832.59|-685.98
46464|518|5|59|1|2|777408.72|-1381.39
5011|1417|3|69|22|1|248260.09|13847.02
59474|1249|3|14|1|3|476420.6|12604.29
86665|87|5|59|19|1|814511.67|9105.84
8458|1387|1|15|22|3|140740.52|8703.3
23387|239|1|34|20|3|39059.85|4120.2
80645|609|5|86|13|2|514581.53|10139.69
65321|399|2|83|8|3|278316.85|-4579.28
15342|1717|2|47|26|2|212625.72|3662.0
60927|233|2|10|28|3|681516.09|6138.54
49058|1088|4|56|35|2|778215.38|11400.77
14888|700|5|60|11|3|254929.79|6083.94
66402|971|5|63|50|2|425408.82|14265.25
68492|970|1|17|28|3|471940.82|11763.5
82698|384|3|72|14|3|413085.88|7778.54
65914|1422|4|11|3|2|276055.86|12921.65
43778|58|5|62|23|2|85352.27|-4676.49
3523|896|1|66|10|3|210484.33|378.89
60725|1783|2|13|20|3|980374.19|137.44
21971|1186|1|86|18|2|293626.45|8060.21
79625|75|3|9|47|1|779638.94|3940.12
44899|1197|5|75|16|2|825744.7|7508.17
15025|1085|3|1|46|1|126525.6|-4319.29
64739|1225|4|39|17|3|664978.12|13787.24
14563|1361|4|11|29|3|953032.75|2140.64
52358|1650|2|80|17|2|30303.24|3264.79
8637|1313|5|96|40|1|390029.4|-4628.43
3155|693|1|68|9|3|489475.61|11047.1
49265|153|1|32|27|2|402625.28|-744.74
54327|1547|4|10|24|1|57015.07|1018.22
93002|607|3|72|9|2|652235.44|10863.06
90830|16|3|78|34|2|132007.45|12831.01
24279|331|5|58|28|2|306868.78|-4615.46
38801|138|2|42|18|1|816619.56|8683.28
57362|1773|4|61|13|1|82658.33|13535.25
44141|1478|4|61|37|2|628968.85|12224.16
12385|1124|4|91|27|3|141582.85|7026.19
8113|1490|4|73|4|2|720985.06|980.82
59143|1163|2|25|23|3|181274.87|4800.35
24498|1571|4|38|13|1|296467.23|11168.94
82231|765|4|12|47|2|216635.89|3082.95
24996|785|2|19|37|1|991324.0|-3212.27
35391|228|1|16|13|2|263194.05|-1833.54
57158|55|3|46|21|1|416357.25|-2229.9
12230|1565|3|37|42|2|73126.78|-4205.52
68500|1265|1|46|31|2|6180.58|-2099.87
17010|1626|3|81|10|3|233449.8|2525.88
13226|1140|3|35|24|3|778072.77|8577.74
14751|487|5|41|25|1|920666.78|10653.07
68768|1756|3|41|20|2|826252.66|-2293.99
69751|1726|1|29|45|3|78972.01|9178.84
65831|538|4|77|27|3|185534.07|-2274.5
18646|1121|5|48|22|2|353811.84|8524.42
98854|1475|2|31|35|2|490052.68|6552.06
83866|1621|5|90|2|2|254087.93|9119.67
3727|1504|1|75|10|3|874506.72|-3910.84
9889|509|2|52|49|3|365044.74|4273.0
89314|974|1|6|26|2|984087.3|8748.35
77239|1694|5|3|6|2|796567.44|9403.12
37576|1100|5|35|43|1|42591.74|2151.01
10850|1099|1|19|8|1|95967.83|7621.83
16058|706|2|71|1|2|953963.16|11799.91
94750|786|2|27|48|1|930080.5|1566.37
92698|766|3|42|18|3|373699.04|805.81
32648|213|1|61|1|1|676054.45|7908.63
74244|706|3|60|4|3|806005.05|2743.7
20483|742|4|52|48|1|738550.82|1388.14
32122|491|5|100|29|1|902347.66|1191.09
270|1343|5|30|38|2|212631.99|-4506.91
31561|18|4|78|49|1|990691.72|-3052.3
68787|228|3|11|10|2|129698.27|1097.62
86622|1100|1|35|29|1|826185.59|12481.73
23597|1492|2|69|47|3|800469.53|6824.18
87542|1547|4|67|47|1|279975.35|10024.55
78204|1320|4|3|23|1|161081.06|107.81
41625|1656|4|93|45|3|355098.34|10321.0
14478|1778|2|62|28|2|893788.42|2428.91
61536|23|3|16|3|3|7984.4|11119.86
84546|871|5|54|44|3|409081.34|-1583.78
47812|551|1|18|2|1|930306.76|-1040.04
41658|292|4|16|6|2|444202.44|-603.55
61927|656|3|60|17|1|53436.89|-2344.04
14191|134|2|66|25|3|333576.37|4454.39
75991|15|2|46|4|1|701540.3|2943.16
31218|349|3|44|4|2|674726.1|7811.7
64114|559|2|39|30|2|41566.36|10603.65
33232|1072|4|65|6|3|67028.38|14580.98
29069|1175|4|63|8|2|95217.51|12387.26
69847|1278|2|24|45|3|157456.71|-2220.2
64965|1097|1|82|14|2|412854.5|404.69
89286|494|2|57|25|2|378655.41|5323.11
69355|1799|5|96|35|3|989951.59|12033.94
12288|587|5|40|48|2|797329.46|10517.98
5375|553|5|39|23|3|949377.18|-2872.64
25884|297|5|59|34|2|239819.97|12059.75
21082|1698|4|38|18|2|173554.17|2082.39
21976|812|4|11|43|2|705366.77|14499.81
17082|1564|5|60|32|1|814012.57|12222.53
5676|1817|2|31|1|1|863933.86|6803.83
40027|419|2|26|31|3|534049.93|6929.33
23533|1603|1|90|16|2|494865.92|10705.92
86374|1485|4|46|22|3|925264.47|-3746.86
3525|382|3|26|46|3|124560.42|14437.36
59027|66|3|97|12|3|22276.58|1495.25
3294|84|5|37|1|1|699732.54|5088.97
58819|96|2|94|38|3|805469.71|2178.21
3984|1402|2|37|13|2|579090.94|5109.32
80422|964|1|57|28|3|586662.66|13028.06
71777|486|3|67|45|3|652761.96|7541.33
94648|26|2|17|43|1|507453.11|3236.09
43781|1590|1|77|14|3|664330.3|11969.43
74654|1655|2|17|28|1|818823.77|91.38
63110|1628|3|12|50|3|691571.44|11406.14
68577|87|5|51|23|1|167640.84|-1616.99
96067|587|5|6|6|1|400570.34|-3501.1
54036|1476|5|53|17|3|690663.14|11316.83
32553|829|4|36|22|1|271205.84|7476.79
88988|125|1|91|9|3|55803.36|14255.03
85317|186|1|14|48|3|167792.89|4308.8
5747|867|4|29|12|2|593025.52|-3963.74
90250|1098|4|10|31|1|667953.34|8494.41
70827|694|5|8|24|1|236167.4|3041.42
30566|126|2|42|44|2|34138.19|4583.61
73681|751|2|75|23|2|632955.49|5353.53
61142|335|3|41|30|2|410743.98|7366.55
57842|354|2|46|27|3|397362.82|-410.16
8881|1139|5|55|50|1|132000.77|5753.77
59537|507|2|32|11|3|573287.59|9316.22
56010|1587|5|44|2|2|741815.77|3790.0
72358|414|2|14|45|3|604683.62|8511.11
69366|75|1|67|8|2|126369.45|7873.34
40952|909|3|70|6|1|294916.05|2314.12
27143|1608|2|65|27|1|33530.6|5473.54
52698|606|4|22|19|1|879655.23|2153.11
30361|144|4|82|17|1|172223.63|1203.13
16761|1747|2|33|3|2|205619.73|11139.85
96291|511|4|30|48|2|719620.38|11983.49
12632|874|4|10|47|3|247534.64|9553.49
44302|950|3|16|26|1|465969.64|5305.93
72231|1820|5|51|38|1|532201.56|12035.22
60090|1449|4|65|20|2|456734.39|-3135.2
85792|723|3|18|39|3|23009.11|7296.28
53141|315|1|84|48|1|180636.22|-848.57
62247|550|3|44|34|2|732749.04|-273.46
37933|939|4|67|26|1|189046.65|1531.42
16014|1400|3|88|39|1|609051.78|3713.2
39014|874|1|13|3|3|441541.27|1519.29
5793|1684|3|1|24|2|640653.6|-816.11
48242|1209|5|11|38|1|205130.44|3165.86
38439|173|2|68|22|1|989161.3|5236.41
5050|448|1|19|45|1|586952.3|7845.38
55720|1821|4|6|48|2|201949.8|-1049.59
26532|1755|5|7|9|1|24706.29|-3287.14
75051|1451|5|36|4|2|629714.92|9130.31
78379|1816|5|66|23|1|85234.42|6493.62
80320|1765|1|60|14|3|555647.72|1328.31
35973|202|3|66|13|1|217954.08|-4737.25
89110|1121|3|70|23|3|198592.53|7475.09
26996|919|1|74|34|1|101744.21|13793.59
748|651|1|46|28|2|474135.14|780.58
6029|536|3|100|3|2|487144.75|8080.4
41344|475|3|1|29|3|501479.75|12.07
71126|524|2|40|27|1|452831.3|7699.37
73296|183|2|21|6|2|754159.85|12149.83
31364|92|2|80|12|1|978622.23|-814.32
94057|283|4|23|19|1|651283.39|4094.0
41877|1143|4|81|33|2|940916.41|-1430.28
24566|446|5|45|3|2|690302.0|3925.13
21936|50|5|39|28|3|40666.78|1764.07
77284|1381|2|55|2|2|97952.52|6277.1
54802|594|1|95|35|1|234397.48|5997.3
4833|594|1|9|39|1|60534.74|4234.83
36977|1688|4|91|20|2|244595.07|14698.0
11676|1466|3|88|8|1|409551.12|-1219.19
13842|1224|3|19|50|3|400175.07|6265.52
47807|1435|4|92|18|1|930709.52|10343.01
32410|1745|3|46|8|1|229692.3|9261.9
18755|197|4|15|22|3|543925.09|6842.1
25341|834|3|54|27|1|480976.47|6689.69
73039|1729|5|51|13|3|397307.62|814.78
25159|1380|2|23|7|1|413282.93|12520.6
37395|1031|1|32|38|1|817390.12|-4231.48
70616|1406|1|72|50|3|931112.44|574.86
7845|129|5|11|8|1|773048.17|5214.32
16627|104|3|53|22|1|195734.6|4677.04
31581|280|1|54|8|3|109746.31|10347.17
37870|1194|5|50|20|1|209955.61|13672.01
85179|445|5|82|4|2|948972.13|-688.01
39557|1816|5|29|13|3|256084.83|10268.88
1872|9|2|46|48|2|177124.56|11367.36
41824|1201|2|19|24|3|359856.64|1367.89
40124|1716|3|28|2|3|868588.89|3755.41
92483|131|5|96|4|1|107688.89|2349.96
40619|1173|3|68|39|2|727909.48|-2239.36
17321|516|2|41|47|2|436771.68|2250.05
57018|176|2|83|10|2|194318.01|5495.65
22383|209|3|15|18|1|672610.18|-3431.15
85555|627|2|49|20|3|102484.33|12749.99
21328|1089|3|87|14|1|960331.83|4145.47
95919|1088|1|15|27|1|181595.47|2581.22
88983|1299|4|98|8|1|135659.92|11701.22
91679|899|5|33|8|3|417951.83|12482.89
12906|634|5|57|36|3|913086.67|-3146.22
53995|312|4|38|38|1|367280.66|1769.06
97021|570|4|57|12|2|214790.63|-3786.5
89290|1586|5|90|50|2|627088.25|13112.73
